Article Name,Article Content
Time-In-Force Orders,"Time-In-Force orders refer to order instructions which indicate how long an open order will remain active for before it expires. This provides traders with an additional measure of control when opening active positions.

There are 2 available Time-in-Force orders available on
Delta Exchange
- GTC & IOC.
GTC
- GTC, or Good-Till-Cancelled, ensures that the order remains active until cancellation by the trader. When using this order type, an order will either execute or be manually canceled by the trader.
IOC
- IOC, or Immediate-Or-Cancel, ensures that any unfilled parts of an order are canceled immediately if not filled. IOC orders will as large a part of an order as possible, canceling the rest immediately.
Time-In-Force orders are a powerful tool for traders to improve control over the timing and execution of their orders on Delta.

[embed]https://youtu.be/9o9l60jATkM[/embed]
For information on further order types, visit
Delta Order Types
. For video demonstrations, visit the
Delta Youtube channel
."
Reduce-Only Orders,"Reduce-only orders allow traders to execute buy or sell orders which only reduce a current position, as opposed to opening an opposite long or short worth more than the existing value of your assets,
letting you trade without the risk of over-exposing your positions.
Orders marked as ""reduce-only"" will be canceled if they would result in increasing the position size in the opposite direction. Whilst the reduce-only flag can be used with any order type, it is most useful when combined with stop orders.
For information on further order types, visit
Delta Order Types
. For video demonstrations, visit the
Delta Youtube channel
."
Trailing-Stop Orders,"Trailing-stop orders are an order type that activates once/if the market price goes against you by a set amount, referred to as the Trail Amount, providing you with added flexibility and automation. The stop price follows the market at a fixed distance if the price is moving in favor of your order. The stop price remains unchanged when the market is moving against the trader, however, protecting against potential losses. This enables a trader to specify a limit on the maximum possible loss (the trail amount), without having to set a limit on the maximum possible gain. When the market reaches the trigger price, a market order is activated.
Example
: If a trader is in a long position and the current price is 500, a trader can open trailing-stop orders with a price distance of 20. This will create a sell stop order at 480. Contrary to a normal stop order, if the price continues to rise to 550, the trailing stop rises accordingly to 530. If the price falls to 530, a market order is activated.
For information on further order types, visit
Delta Order Types
. For video demonstrations, visit the
Delta Youtube channel
."
Post-Only Orders,"Post-Only orders are a limit order type on
Delta
which is only accepted if it does not immediately match with an existing order in the book. In line with this, a Post-Only order is one which is “posted” in the order book and which is not executed upon submission.
Post-Only orders add liquidity to the order book (as opposed to taking liquidity), ensuring that traders pay the maker fee upon submission, as opposed to the taker fee.
To enable Post-Only mode, simply check the ""Post Only"" button in the order form prior to submitting your order.
For information on further order types, visit
Delta Order Types
. For video demonstrations, visit the
Delta Youtube channel
."
Stop-Limit Orders,"Stop-Limit orders are an order type to limit buy/sell a futures contract once the Mark Price hits your specified Stop Price. It is a conditional order which only becomes active once the Stop price has been hit. Once the Stop price has been hit, a limit buy/sell order will be activated based on your precise input.
For complete Stop-Limit orders, you will need to specify the Stop Price, the order quantity, and the order limit price.
Please note that only Mark Price can be used to specify the Trigger Price of a stop order. In the case of a Buy stop order, the stop price must be below the current Mark Price. For a Sell stop order, the stop price must be above the current Mark Price.
A stop order has three states:
Untriggered
- Market has not reached the Trigger Price.
Triggered
- Market has reached the Trigger Price. The stop order has become active and has entered the order book.
Filled
- After getting activated, the stop order has been filled.
Example
: Let’s say the price is currently $100. Using a Stop-limit order, you can set a stop buy price at $95. Once/if the price hits $95, a limit order will be added to the order book at your specified price and quantity. If the price does not hit $95, the order will remain active without execution.
For information on further order types, visit
Delta Order Types
. For video demonstrations, visit the
Delta Youtube channel
."
Stop-Market Orders,"Stop-Market orders are orders to market buy/sell a futures contract once the Mark Price hits your specified Stop Price. It is a conditional order which only becomes active once the Stop price has been hit. Once the Stop price has been hit, a market buy/sell order will be activated.
Please note that only Mark Price can be used to specify the Trigger Price of a stop order. In the case of a Buy stop order, the stop price must be below the current Mark Price. For a Sell stop order, the stop price must be above the current Mark Price.
A stop order has three states:
Untriggered
- Market has not reached the Trigger Price.
Triggered
- Market has reached the Trigger Price. The stop order has become active and has entered the order book.
Filled
- After getting activated, the stop order has been filled.
Example
: Let’s say the price is currently $100. Using stop-market orders, you can set a stop buy price at $95. Once/if the price hits $95, a market order will execute at the best price available for the given quantity. If the price does not hit $95, the order will remain active without execution.
For information on further order types, visit
Delta Order Types
. For video demonstrations, visit the
Delta Youtube channel
."
Market Orders,"A market order is an order type that executes immediately at the best price possible. Market orders on
Delta
will always be filled assuming sufficient order book depth, potentially filling at a number of different prices depending on the number of existing orders in the book at the time.
Market orders match against the best available bids/asks in the order book to ensure the best price possible for a trader.
A market order can be used when speed is prioritized over the exact order execution price. When placing a market order, a trader prioritizes immediate order execution over price/quantity control.
Example
: Using a market order, you can specify the quantity you wish to allocate to an order (e.g. 10% of your wallet). You cannot specify the price however, as this is based on the best available prices in the order book. The order will execute immediately.
[embed]https://www.youtube.com/watch?v=bpI6t1ex1yE&feature=emb_title[/embed]
For information on further order types, visit
Delta Order Types
. For video demonstrations, visit the
Delta Youtube channel
."
Limit Orders,"Limit
orders are a highly effective way of trading on
Delta Exchange
.
A limit order is an order to buy a specified number of futures contracts at a specified price. A limit order only ever executes at the specified price (or better). This provides a trader with full control over the quantity and price of their order.
A limit order is useful for complete order accuracy. This is because the exact price and quantity can be determined prior to the order being executed. As a result, a limit order sacrifices speed and timeliness and risks not getting filled in a fast-moving market.
Example
: Let’s say the current market price is $100. Using limit orders, you can place an order at $95, anticipating further downside. The order will not execute unless the market price hits $95, providing you with a price and quantity guarantee. With a limit order, you run the risk of the price not hitting your target and the order not executing. For a full demonstration, visit our
Limit Order walkthrough. video
.
[embed]https://www.youtube.com/watch?v=Ghvr3efrrp8[/embed]"
Changes in Options Symbology,"We have made a couple of changes to Options Symbology:



1) Tickers are now in format: < option_type > - < asset > - < strike > - < expirydate in ddmmyy >
- Options type is C for calls, P for Puts and MV for MOVE
- Asset is the underlying asset. For example BTC, ETH, LINK etc.

2) We have deprecated symbols which had D,W,M terminology.

3) We have also discontinued Turbo Options."
Margin requirement for MOVE contracts,"The Margin Requirements for MOVE Contracts are fairly straightforward:
Losses for LONGS can never exceed the option premium paid. Because of this, Longs can never get liquidated, and there are
no margin requirements
on the contract.
Losses for SHORTS are theoretically unlimited (if the price was to plummet or skyrocket), and shorts are therefore required to post a
10% margin requirement
.
Short positions on MOVE contracts go into liquidation when
Position Margin
becomes less than the Maintenance Margin of the position, after factoring in unrealised losses.
The liquidation mechanism for MOVE contracts is the same as for futures contracts. A position on Delta is liquidated in a stepwise manner to reduce the market and price impact of liquidations. Traders who short MOVE contracts have the option of enabling
Auto Margin Top-up
to prevent positions from getting liquidated."
